administrative_area_level_1,administrative_area_level_2,city,latitude,longitude,sa_clli
Quebec,Côte-Nord,La Tabatière,50.821804,-58.969553,MNBAPQ
Quebec,Côte-Nord,Rivière-Saint-Paul,51.464636,-57.49756,BNESPQ
Quebec,Côte-Nord,Old Fort Bay,51.47984587,-57.71239356,BNESPQ
Quebec,Côte-Nord,Pakuashipi,51.223693,-58.669344,STAGPQ
Quebec,Côte-Nord,Saint-Augustin,51.238972,-58.642493,STAGPQ
Quebec,Côte-Nord,Tête-à-la-Baleine,50.705047,-59.310036,TALBPQ
Quebec,Côte-Nord,Tika,50.88106549,-65.95105324,OT09PQ
Minnesota,Douglas County,Alexandria,45.82534622,-95.36826596,ALXNMNAP
Minnesota,Wright County,Annandale,45.26144695,-94.12608341,ANDLMNAC
Minnesota,Mahnomen County,Bejou,47.43972814,-95.97717807,BEJOMNAA
Minnesota,Stearns County,Brooten,45.50268142,-95.12315542,BROTMNAB
Michigan,Calhoun County,Battle Creek,42.33484965,-85.1434998,BTCKMIKI
Illinois,Cook County,Chicago,41.8537024,-87.6190239,CHCGILDT
Illinois,Cook County,Chicago,41.8730685,-87.6296159,CHCNIL23
Michigan,Cass County,Cassopolis,41.9082582,-86.0066936,CSPLMIAS
Michigan,Shiawassee County,Vernon,42.90847396,-83.98032559,DRNDMIAK
Michigan,Wayne County,Detroit,42.3804867,-83.0568522,DTRVMIUC
Minnesota,Goodhue County,Frontenac,44.50609446,-92.3363485,MPLSMNFD
Wisconsin,La Crosse County,La Crosse,43.833056,-91.254167,LCRSWIKO
Wisconsin,Milwaukee County,Milwaukee,43.027617,-87.937833,MILAWI95
Minnesota,Hennepin County,Minneapolis,44.98092865,-93.26758498,MPLSMNFD
Minnesota,Marshall County,Newfolden,48.356722,-96.324188,NWFLMNAB
Wisconsin,Columbia County,Portage,43.546936,-89.466637,PRTGWIBD
Wisconsin,Monroe County,Tomah,43.988377,-90.504219,TOMAWIAM
Indiana,Porter County,Valparaiso,41.475207,-87.053383,VLPRINFD
Minnesota,Otter Tail County,Vergas,46.65592,-95.804121,VRGSMNAA
Illinois,Lake County,Wadsworth,42.42901,-87.89756,WSWOILAI
Wisconsin,Jefferson County,Watertown,43.189844,-88.730943,WTTWWICE
Quebec,Mauricie,Batiscan,46.497469,-72.251348,BTCNPQ
Quebec,Capitale-Nationale,Cap-Santé,46.670577,-71.783547,DNNCPQ
Quebec,Capitale-Nationale,Deschambault,46.693137,-71.94442,PTNFPQ
Quebec,Capitale-Nationale,Donnacona,46.686866,-71.690211,DNNCPQ
Quebec,Capitale-Nationale,Grondines,46.59215,-72.03784,PTNFPQ
Quebec,Mauricie,Hérouxville,46.67871,-72.61695,STITPQ
Quebec,Mauricie,Lac-aux-Sables,46.88562,-72.51314,LCSBPQ
Quebec,Capitale-Nationale,Saint-Alban,46.81592,-72.08844,STMCPQ
Quebec,Capitale-Nationale,Saint-Ubalde,46.82571,-72.27784,STUBPQ
Quebec,Capitale-Nationale,St-Raymond,46.94205902,-71.76695568,STRYPQ
Quebec,Mauricie,Notre-Dame-de-Montauban,46.87322,-72.31231,LCSBPQ
Quebec,Capitale-Nationale,Neuville,46.70190048,-71.5694046,NUVLPQ
Quebec,Capitale-Nationale,Pont-Rouge,46.794242,-71.695286,PORGPQ
Quebec,Capitale-Nationale,Portneuf,46.71159,-71.8753,PTNFPQ
Quebec,Mauricie,Proulxville,46.667742,-72.503087,STITPQ
Quebec,Capitale-Nationale,Rivière-à-Pierre,46.9918,-72.181,RAPRPQ
Quebec,Mauricie,Sainte-Thècle,46.92881,-72.46751,DNNCPQ
Quebec,Capitale-Nationale,Quebec City,46.74064732,-71.45187825,SAGDPQ
Quebec,Mauricie,Sainte-Anne-de-la-Pérade,46.57292,-72.202106,SANPPQ
Quebec,Mauricie,Saint-Adelphe,46.735464,-72.427669,SAPHPQ
Quebec,Capitale-Nationale,Saint-Basile,46.745845,-71.812198,SBLPPQ
Quebec,Montérégie,Sainte-Catherine,45.401313,-73.581491,SCAQPQ
Quebec,Capitale-Nationale,Saint-Thuribe,46.705,-72.15967,SCASPQ
Quebec,Capitale-Nationale,Saint-Casimir,46.65792,-72.13861,SCASPQ
Quebec,Mauricie,Sainte-Geneviève-de-Batiscan,46.532462,-72.339301,BTCNPQ
Quebec,Mauricie,Saint-Prosper-de-Champlain,46.61296,-72.29182,SSCHPQ
Quebec,Mauricie,Saint-Stanislas-de-Champlain,46.605745,-72.38559,SSCHPQ
Quebec,Capitale-Nationale,Sainte-Christine-d'Auvergne,46.82481,-71.9333,PTNFPQ
Quebec,Mauricie,Sainte-Thècle,46.8156,-72.50383,STHCPQ
Quebec,Mauricie,St-Tite,46.73252221,-72.56244421,STITPQ
Quebec,Capitale-Nationale,Saint-Léonard-de-Portneuf,46.90379,-72.00807,STRYPQ
Quebec,Capitale-Nationale,Saint-Gilbert,46.70478,-72.00607,STMCPQ
