Id,Techno,Eqpt_Mod,Act,,Act_desc,Avg_single,PS50_Plan,PS50_Act,Avg_Actual
492,5,78,DESN,1,Mise en service,15,16,0,0
493,5,78,DPSW,3,Mise en service,30,50,0,0
494,5,78,DESN,1,Décomission,0,0,0,0
495,5,78,DPSW,3,Décomission,0,0,0,0
496,5,79,DESN,1,Mise en service,15,80,0,0
497,5,79,DPSW,3,Mise en service,0,0,0,0
498,5,79,DESN,1,Décomission,0,0,0,0
499,5,79,DPSW,3,Décomission,0,0,0,0
500,5,79,DESN,1,Ajout de facilité,0,0,0,0
501,5,79,DPSW,3,Ajout de facilité,0,0,0,0
502,5,79,DESN,1,Ajout de carte,0,0,0,0
503,5,79,DPSW,3,Ajout de carte,0,0,0,0
504,5,79,DESN,1,Enlèvement de facilité,0,0,0,0
505,5,79,DPSW,3,Enlèvement de facilité,0,0,0,0
506,5,79,DESN,1,Enlèvement de carte,0,0,0,0
507,5,79,DPSW,3,Enlèvement de carte,0,0,0,0
508,6,80,DESN,1,Mise en service,0.9,2,0,1
509,6,80,DFOT,6,Mise en service,1.1,5,0,1
510,6,80,DESN,1,Décomission,0,0,0,
511,6,80,DFOT,6,Décomission,0,0,0,
512,6,81,DESN,1,Décomission,0,0,0,
513,6,81,DFOT,6,Décomission,8.5,7,0,10
514,6,14,DUNC,4,Spare,3.8,6,0,
515,6,14,SRVY,5,Site Survey,2,0,0,
516,6,82,DESN,1,Mise en service,17.2,26,0,
517,6,82,DFOT,6,Mise en service,28.6,24,0,37
518,6,82,DESN,1,Ajout de carte,0,0,0,
519,6,82,DFOT,6,Ajout de carte,0,0,0,
520,6,82,DESN,1,Ajout de facilité,0,0,0,
521,6,82,DFOT,6,Ajout de facilité,0,0,0,
522,6,82,DESN,1,Enlèvement de carte,0,0,0,
523,6,82,DFOT,6,Enlèvement de carte,0,0,0,
524,6,82,DESN,1,Enlèvement de facilité,0,0,0,
525,6,82,DFOT,6,Enlèvement de facilité,0,0,0,
526,6,82,DESN,1,Décomission,0,0,0,
527,6,82,DFOT,6,Décomission,0,0,0,
528,6,17,DESN,1,RTU / Software,0,0,0,0
529,7,83,DESN,1,Mise en service,0,0,0,
530,7,83,DPDC,10,Mise en service,0,0,0,
531,7,83,DESN,1,Décomission,0,0,0,
532,7,83,DPDC,10,Décomission,0,0,0,
533,7,84,DESN,1,Mise en service,5.1,5,0,4
534,7,84,DPDC,10,Mise en service,9.9,14,0,12
535,7,84,DESN,1,Décomission,0,0,0,
536,7,84,DPDC,10,Décomission,0,0,0,
537,7,85,DESN,1,Mise en service,0,0,0,
538,7,85,DPDC,10,Mise en service,0,0,0,
539,7,85,DESN,1,Décomission,0,0,0,
540,7,85,DPDC,10,Décomission,0,0,0,
541,7,86,DESN,1,Mise en service,2.5,10,0,
542,7,86,DBAT,11,Mise en service,0,0,0,
543,7,86,DESN,1,Ajout de cellule,4,4,0,4
544,7,86,DBAT,11,Ajout de cellule,7,5,0,6
545,7,86,DESN,1,Décomission,0,0,0,
546,7,86,DBAT,11,Décomission,0,0,0,
547,7,87,DESN,1,Mise en service,3.6,3,0,4
548,7,87,DBAT,11,Mise en service,10.6,7,0,8
549,7,87,DESN,1,Ajout de cellule,3.3,3,0,2
550,7,87,DBAT,11,Ajout de cellule,5.5,8,0,0
551,7,87,DESN,1,Décomission,0,0,0,
552,7,87,DBAT,11,Décomission,0,0,0,
553,7,88,DESN,1,Mise en service,5.3,7,0,
554,7,88,DBAT,11,Mise en service,16.3,20,0,0
555,7,88,DESN,1,Ajout de cellule,3.8,5,0,3
556,7,88,DBAT,11,Ajout de cellule,8.3,9,0,7
557,7,88,DESN,1,Décomission,0,0,0,
558,7,88,DBAT,11,Décomission,0,0,0,
559,7,89,DESN,1,Mise en service,10.8,26,0,4
560,7,89,DPDC,10,Mise en service,16.3,28,0,14
561,7,89,DESN,1,Ajout de module,0,0,0,
562,7,89,DPDC,10,Ajout de module,0,0,0,
563,7,89,DESN,1,Décomission,0,0,0,
564,7,89,DPDC,10,Décomission,0,0,0,
565,7,90,DESN,1,Décomission,0,0,0,0
566,7,90,DPDC,10,Décomission,7.8,3,0,13
567,7,14,DFOT,6,Spare,3.5,4,0,
568,7,91,DESN,1,Mise en service,0,0,0,
569,7,91,DPDC,10,Mise en service,8.3,6,0,8
570,7,91,DESN,1,Décomission,0,0,0,
571,7,91,DPDC,10,Décomission,0,0,0,
572,7,92,DESN,1,Mise en service,3.2,4,0,2
573,7,92,DPDC,10,Mise en service,9.9,10,0,8
574,7,92,DESN,1,Décomission,0,0,0,
575,7,92,DPDC,10,Décomission,0,0,0,
576,7,14,SRVY,5,Site Survey,33.2,35,0,0
577,8,93,DESN,1,Mise en service,8.9,10,0,8
578,8,93,DPSW,3,Mise en service,22.1,23,0,12
579,8,93,DESN,1,Décomission,0,0,0,
580,8,93,DPSW,3,Décomission,0,0,0,
581,8,14,DPSW,3,Migration de circuits,5.1,7,0,
582,8,14,DESN,1,Bon de commande (Sans Matériel),2.5,3,0,1
583,8,14,DPSW,3,Bon de commande (Sans Matériel),7.4,6,0,3
584,8,14,DESN,1,Ajout de facilité,0.6,3,0,1
585,8,14,DPSW,3,Ajout de facilité,4.1,5,0,4
586,8,14,DESN,1,Migration de circuits,6,7,0,
587,8,14,DESN,1,Enlèvement de facilité,3.8,4,0,4
588,8,14,DPSW,3,Enlèvement de facilité,6.9,3,0,7
589,8,94,DESN,1,Mise en service,1.9,10,0,0
590,8,94,DPSW,3,Mise en service,0,0,0,0
591,8,94,DESN,1,Décomission,0,0,0,0
592,8,94,DPSW,3,Décomission,0,0,0,0
593,9,95,DESN,1,Décomission,0,0,0,
594,9,95,DFOT,6,Décomission,0,0,0,
595,9,96,DESN,1,Mise en service,0,0,0,
596,9,96,DFOT,6,Mise en service,0,0,0,
597,9,96,DESN,1,Décomission,0,0,0,
598,9,96,DFOT,6,Décomission,0,0,0,
599,9,97,DESN,1,Mise en service,0,0,0,
600,9,97,DFOT,6,Mise en service,0,0,0,
601,9,97,DESN,1,Décomission,0,0,0,
602,9,97,DFOT,6,Décomission,0,0,0,
