region_id,city,latitude,longitude,sa_clli
9,St-Raymond,46.94205902,-71.76695568,STRYPQ
61,Notre-Dame-de-Montauban,46.87322,-72.31231,LCSBPQ
9,Neuville,46.70190048,-71.5694046,NUVLPQ
9,Pont-Rouge,46.794242,-71.695286,PORGPQ
9,Portneuf,46.71159,-71.8753,PTNFPQ
61,Proulxville,46.667742,-72.503087,STITPQ
9,Rivière-à-Pierre,46.9918,-72.181,RAPRPQ
61,Sainte-Thècle,46.92881,-72.46751,DNNCPQ
9,Quebec City,46.74064732,-71.45187825,SAGDPQ
61,Sainte-Anne-de-la-Pérade,46.57292,-72.202106,SANPPQ
61,Saint-Adelphe,46.735464,-72.427669,SAPHPQ
9,Saint-Basile,46.745845,-71.812198,SBLPPQ
65,Sainte-Catherine,45.401313,-73.581491,SCAQPQ
9,Saint-Thuribe,46.705,-72.15967,SCASPQ
9,Saint-Casimir,46.65792,-72.13861,SCASPQ
61,Sainte-Geneviève-de-Batiscan,46.532462,-72.339301,BTCNPQ
61,Saint-Prosper-de-Champlain,46.61296,-72.29182,SSCHPQ
61,Saint-Stanislas-de-Champlain,46.605745,-72.38559,SSCHPQ
9,Sainte-Christine-d'Auvergne,46.82481,-71.9333,PTNFPQ
61,Sainte-Thècle,46.8156,-72.50383,STHCPQ
61,St-Tite,46.73252221,-72.56244421,STITPQ
9,Saint-Léonard-de-Portneuf,46.90379,-72.00807,STRYPQ
9,Saint-Gilbert,46.70478,-72.00607,STMCPQ
9,Saint-Marc-des-Carrières,46.681457,-72.051451,STMCPQ
61,Saint-Narcisse,46.56588,-72.465,SSCHPQ
39,Belleville,44.1643948,-77.3808889,BLVLON24
89,Oshawa,43.8988,-78.86146,OSHWON95
89,Oshawa,43.87967,-78.854576,OSHWONFP
89,Oshawa,43.89749,-78.86298,OSHWONTD
89,Ajax,43.854991,-79.045026,PCNGON62
89,Pickering,43.84902,-79.07363,PCNGON62
85,Peterborough,44.30551,-78.32129,PTBOON62
32,Gaspé,48.932448,-64.307084,GASPPQ
32,Percé,48.617832,-64.277267,BRCHPQ
32,"Newport, Chandler, Quebec",48.341746,-64.729289,CHNDPQ
32,Chandler,48.348467,-64.682103,CHNDPQ
32,Gaspé,48.835371,-64.336147,CPRSPQ
32,Percé,48.424345,-64.332408,PERCPQ
32,Cloridorme,49.17911381,-64.84101318,CRDRPQ
32,Grande-Rivière,48.398816,-64.498075,GDRVPQ
32,Grande-Vallée,49.223795,-65.130166,GDVAPQ
32,Madeleine-Centre,49.248428,-65.346436,GDVAPQ
32,Murdochville,48.95879566,-65.4953306,MDVLPQ
32,"Newport, Chandler, Quebec",48.261593,-64.747946,NWPTPQ
32,Pabos,48.358204,-64.636935,CHNDPQ
32,Pabos Mills,48.306755,-64.70767,CHNDPQ
32,Sainte-Thérèse-de-Gaspé,48.410751,-64.419601,GDRVPQ
100,New Tecumseth,44.15306,-79.86502,ALTOONBA
100,Barrie,44.3931364,-79.693521,BARION18
100,Barrie,44.4015101,-79.7028636,BARIONBF
76,Brighton,44.0403245,-77.7305072,BITNONAL
92,Brampton,43.6873629,-79.756915,BMTNON13
92,Brampton,43.7393539,-79.6967902,BMTNON37
100,Borden,44.2903648,-79.8974433,CPBDON20
92,Mississauga,43.608133,-79.654729,CKVLON01
92,Mississauga,43.5823682,-79.6158932,CKVLON17
100,Borden,44.290758,-79.897809,CPBDONAA
105,Toronto,43.719027,-79.603679,EBCKONDF
103,Espanola,46.257395,-81.773967,ESPNON66
105,Toronto,43.7048443,-79.3612142,EYRKONAE
110,Guelph,43.544913,-80.2498186,GLPHON22
110,Guelph,43.4848656,-80.1975963,GLPHONTF
92,Mississauga,43.70963,-79.63699,MALTON22
92,Mississauga,43.66349,-79.67237,MALTON23
100,Port Severn,44.806111,-79.619722,MRDLONAA
93,Markham,43.81838,-79.33412,MRHMONBC
93,Markham,43.85076,-79.34263,UNVLON55
93,Markham,43.8352,-79.33105,MRHMONDR
92,Mississauga,43.6034,-79.73544,MSSGONAN
92,Mississauga,43.60135,-79.7463,MSSGONAP
92,Mississauga,43.604961,-79.739153,MSSGONFD
92,Mississauga,43.56758,-79.66412,MSSGONJR
83,McDougall,45.435278,-80.101111,NOBLONAD
74,North Bay,46.313745,-79.465188,NRBAON24
93,Newmarket,44.05416,-79.45888,NWMKON85
105,Toronto,43.77424,-79.32606,TOROON46
90,Oakville,43.45567,-79.66623,OKVLON30
100,Orillia,44.603185,-79.419833,ORLLON11
93,Richmond Hill,43.87688,-79.43975,RMHLON34
103,Alban,46.104167,-80.659444,RUTRONAA
34,Greater Sudbury,46.489725,-80.990106,SDBRON98
34,Greater Sudbury,46.491667,-80.9975,SDBRONGU
103,Biscotasing,46.941111,-81.798056,SHHNONAA
3,Serpent River,46.212377,-82.538176,SPNHON46
105,Toronto,43.77722,-79.25121,SRBHONBG
3,Sault Ste. Marie,46.51328,-84.33578,SSMRON94
92,Mississauga,43.58083,-79.71409,SSVLON39
92,Mississauga,43.5856,-79.7279,SSVLONAA
93,Markham,43.8413,-79.37557,TNHLON40
93,Vaughan,43.81518,-79.42496,TNHLON40
105,Toronto,43.64023,-79.39331,TORDONDX
105,Toronto,43.64342,-79.38117,TORDONYE
105,Toronto,43.602733,-79.540032,TOROON27
105,Toronto,43.65086,-79.36195,TOROON01
105,Toronto,43.67139,-79.38587,TOROON02
105,Toronto,43.67978,-79.29761,TOROON04
105,Toronto,43.718267,-79.377704,TOROON05
105,Toronto,43.70751,-79.39642,TOROON06
105,Toronto,43.70481,-79.43922,TOROON07
105,Toronto,43.66092,-79.43607,TOROON09
105,Toronto,43.68412,-79.45322,TOROON10
105,Toronto,43.78451,-79.28009,TOROON21
105,Toronto,43.64537,-79.51974,TOROON26
105,Toronto,43.64437,-79.57976,TOROON29
105,Toronto,43.72125,-79.30079,TOROON36
105,Toronto,43.7387,-79.56652,TOROON43
105,Toronto,43.69927,-79.51589,TOROON44
105,Toronto,43.75812,-79.46029,TOROON45
105,Toronto,43.779037,-79.418232,TOROON47
105,Toronto,43.79019,-79.33556,TOROON48
105,Toronto,43.78232,-79.47756,TOROON61
105,Toronto,43.6527,-79.38903,TOROON63
105,Toronto,43.774382,-79.494066,TOROONAU
105,Toronto,43.661037,-79.383947,TOROONDD
105,Toronto,43.78039,-79.24513,TOROON50
105,Toronto,43.64167,-79.41219,TOROONHB
105,Toronto,43.64756,-79.37654,TOROONKW
105,Toronto,43.64652,-79.37874,TOROONKX
105,Toronto,43.65357,-79.38706,TOROONNL
105,Toronto,43.76965,-79.331,TOROONPK
105,Toronto,43.64721,-79.37933,TOROONSY
105,Toronto,43.64272,-79.37405,TOROONTR
105,Toronto,43.76602,-79.4124,TOROONUH
105,Toronto,43.65399,-79.38717,TOROONWR
105,Toronto,43.64476,-79.38391,TOROONXN
105,Toronto,43.64786,-79.38202,TOROONZD
105,Toronto,43.72932,-79.5271,TOROONZY
105,Toronto,43.64823,-79.37952,TORTONXL
105,Toronto,43.69607,-79.58804,TORUONVP
74,Jocko,46.67003,-79.37937,TOROON63
105,Toronto,43.7252921,-79.4875831,TORZONNC
3,Thessalon,46.255466,-83.55766,TSLNON82
93,Markham,43.83347,-79.32027,UNVLONAA
93,Markham,43.816584,-79.338284,UNVLONSA
93,Vaughan,43.781676,-79.583815,WDBGON48
103,Ramsey,47.514167,-82.586944,WMLKONAA
21,Southampton,45.687889,-64.214832,ATHONSAA
106,Hazeldean,46.949245,-67.535047,BLUBNBAA
88,Chipman,46.17633855,-65.87484477,CHMNNBAE
36,Dartmouth,44.69755192,-63.58078223,DRMONSAP
36,Dartmouth,44.66916,-63.5766,DRMONSHI
36,Dartmouth,44.70721,-63.61255,DRMONS05
57,Edmundston,47.360706,-68.341,EDMNNBAG
73,Beaver Dam,45.9605274,-66.6422329,FCTNNBSC
36,Halifax,44.6550143,-63.5943434,HLFXNS01
36,Halifax,44.64974,-63.5763,HLFXNSAK
36,Halifax,44.652417,-63.5748072,HLFXNSAL
36,Halifax,44.65106,-63.57776,HLFXNSCG
36,Halifax,44.65864504,-63.60278937,HLFXNSYT
111,Moncton,46.078168,-64.793419,MCTNNBDS
111,Moncton,46.08967,-64.77669,MCTNNBSA
111,Moncton,46.134573,-64.718583,MCTONBCK
73,Napadogan,46.412704,-66.933952,NPGNNBAA
126,St. John's,47.56156927,-52.77533556,STJHNF01
16,Truro,45.362575,-63.273801,TRURNSAQ
20,L'Île-Michon,50.23499939,-62.05903446,AGSHPQ
20,Baie-Johan-Beetz,50.293024,-62.801703,BJBTPQ
20,Havre-Saint-Pierre,50.24409891,-63.59176094,HSTPPQ
20,Longue-Pointe-de-Mingan,50.29803182,-63.88643978,HSTPPQ
20,Kegashka,50.180059,-61.266595,NTQNPQ
20,Longue-Pointe-de-Mingan,50.267272,-64.141161,RSTJPQ
20,Natashquan,50.18456549,-61.81453228,NTQNPQ
20,Port-Menier,49.8254292,-64.36447875,PTMRPQ
20,Rivière-au-Tonnerre,50.276296,-64.764302,RATRPQ
20,Rivière-Saint-Jean,50.31302324,-64.49841387,RSTJPQ
56,Los Angeles,34.047901,-118.255524,LSANCARC
14,Armagh,46.717341,-70.591645,ARMGPQ
14,Notre-Dame-Auxiliatrice-de-Buckland,46.64635,-70.58199,STDBPQ
14,Berthier-sur-Mer,46.924809,-70.731643,SFSMPQ
4,Témiscouata-sur-le-Lac,47.357737,-69.719195,MTMGPQ
14,Cap-Saint-Ignace,47.008357,-70.450749,CSTIPQ
14,Saint-Damase-de-L'Islet,47.117219,-70.130088,SJPJPQ
14,Saint-Antoine-de-l'Isle-aux-Grues,47.062211,-70.547912,IGRUPQ
14,Saint-Aubert,47.131233,-70.185636,SJPJPQ
14,Saint-Cyrille-de-Lessard,47.06611,-70.139036,STPRPQ
14,Saint-Vallier,46.868519,-70.796904,SMBLPQ
14,La Durantaye,46.800501,-70.864477,SMBLPQ
14,L'Islet,47.138551,-70.352197,LISTPQ
4,La Pocatière,47.361029,-70.025203,LPCTPQ
14,Saint-Philémon,46.622842,-70.486565,SPMTPQ
14,Montmagny,46.970119,-70.573752,MTMGPQ
14,Notre-Dame-du-Rosaire,46.82178,-70.386164,SPMTPQ
14,Saint-Adalbert,46.823922,-69.956143,STPMPQ
14,Sainte-Apolline-de-Patton,46.782503,-70.232573,SPMTPQ
14,Saint-Charles-de-Bellechasse,46.761028,-70.950458,SCSBPQ
14,Saint-Cyrille-de-Lessard,47.036621,-70.274665,LISTPQ
14,Sainte-Euphémie-sur-Rivière-du-Sud,46.771144,-70.44337,SPMTPQ
14,Sainte-Félicité,46.964891,-69.949271,STPRPQ
14,Saint-François-de-la-Rivière-du-Sud,46.879085,-70.677162,SFSMPQ
14,Lamartine,47.084432,-70.337707,LISTPQ
14,Saint-Gervais,46.71355,-70.888204,SCSBPQ
14,Saint-Jean-Port-Joli,47.212925,-70.21697,SJPJPQ
14,Saint-Michel-de-Bellechasse,46.8743,-70.909935,SMBLPQ
14,Saint-Marcel,46.896181,-70.063843,STPMPQ
14,Saint-Nérée-de-Bellechasse,46.691584,-70.681827,ARMGPQ
14,Saint-Omer,47.056667,-69.731673,STPMPQ
14,Saint-Pierre-de-la-Rivière-du-Sud,46.916397,-70.628673,MTMGPQ
14,Saint-Paul-de-Montminy,46.724271,-70.367002,SPMTPQ
14,Saint-Roch-des-Aulnaies,47.309929,-70.174785,SRALPQ
14,Saint-Raphaël,46.819339,-70.788445,SRDBPQ
14,Saint-Damien-de-Buckland,46.623439,-70.655683,STDBPQ
14,Sainte-Louise,47.279622,-70.13424,SRALPQ
14,Saint-Pamphile,46.937321,-69.810993,STPMPQ
14,Sainte-Perpétue,47.086695,-69.929545,STPRPQ
14,Tourville,47.089432,-69.97687,STPRPQ
1,Amos,48.574867,-78.125521,AMOSPQ
65,Boucherville,45.6099,-73.452,BHVLPQ
65,Beloeil,45.573633,-73.201707,BLOLPQ
51,Berthierville,46.085701,-73.178523,BRTVPQ
65,Brossard,45.47384,-73.469739,BSSDPQ
54,Laval,45.548425,-73.744238,CHOMPQ
65,Chambly,45.444202,-73.310652,CMBYPQ
30,Coaticook,45.123989,-71.809924,CTCKPQ
65,Châteauguay,45.361337,-73.734691,CTGYPQ
30,Cowansville,45.204772,-72.746995,CWVLPQ
65,La Prairie,45.3767194,-73.5370083,SCONPQ
11,Drummondville,45.881099,-72.482777,DRUMPQ
66,Dorval,45.477726,-73.787953,PNCLPQ
82,Gracefield,46.089456,-76.05332,GRFDPQ
30,Granby,45.400198,-72.722261,GRNBPQ
82,Gatineau,45.494029,-75.634646,HULLPQ
51,Joliette,46.013893,-73.451092,JOLTPQ
66,Montreal,45.457903,-73.704765,LCHNPQ
65,Lacolle,45.08713872,-73.37192667,LCOLPQ
1,Landrienne,48.547376,-77.80951,AMOSPQ
65,Longueuil,45.5371,-73.5068,LNGLPQ
1,La Sarre,48.801653,-79.203494,LSARPQ
54,Laval,45.584611,-73.753517,LVALPQ
30,Magog,45.265146,-72.145178,MAGOPQ
82,Gatineau,45.5541333,-75.4231167,BCHMPQ
66,Mount Royal,45.504918,-73.664124,MTR1PQ
53,Mont-Laurier,46.55101,-75.494528,MTLRPQ
66,Montreal,45.59787,-73.570354,MTRLPQ
53,Mont-Tremblant,46.210858,-74.586439,SJOVPQ
53,Mont-Tremblant,46.1064,-74.58713,STATPQ
54,Laval,45.5359,-73.7431,MTRLPQ
66,Dorval,45.443949,-73.740878,MTRLPQ
66,Pointe-Claire,45.449489,-73.81819,MTRLPQ
66,Montreal,45.6133901,-73.5850981,MTLEPQ
11,Nicolet,46.228362,-72.615938,NCLTPQ
82,Le Domaine,47.0459,-76.5334,PCVRPQ
1,Val-d'Or,47.8677,-77.3543,PCVRPQ
1,Rouyn-Noranda,48.239881,-79.020914,ROYNPQ
65,Longueuil,45.4819,-73.4388,SHBTPQ
53,Saint-Jérôme,45.781322,-74.000731,SJERPQ
65,Saint-Lambert,45.5001,-73.5104,SLAMPQ
66,Montreal,45.495146,-73.69055,PNCLPQ
65,Saint-Jean-sur-Richelieu,45.35498,-73.293293,STJNPQ
65,Saint-Mathieu,45.321177,-73.526997,SCONPQ
53,Saint-Eustache,45.563703,-73.904107,STESPQ
65,Saint-Hyacinthe,45.6253,-72.9489,STHYPQ
53,Blainville,45.631731,-73.843317,STTRPQ
51,Terrebonne,45.723993,-73.702233,TRRBPQ
61,Trois-Rivières,46.34675,-72.544527,TSRVPQ
65,Vaudreuil-Dorion,45.416467,-74.043324,VDRLPQ
1,Val-d'Or,48.105368,-77.788718,VLDRPQ
53,Val-David,46.03506,-74.23819,VLDVPQ
51,Repentigny,45.757344,-73.47991,VLGDPQ
65,Sorel-Tracy,46.033858,-73.138463,SORLPQ
65,Salaberry-de-Valleyfield,45.268891,-74.097054,VYFDPQ
72,Milford,41.20812485,-73.10603213,NYCMNYZR
73,New York,40.740734,-74.001881,NYCMNY83
73,New York,40.717788,-74.008905,NYCMNYZR
102,Alexandria,45.3184825,-74.6384886,ALXNONAS
55,Brockville,44.588718,-75.6845363,BKVLON45
55,Addison,44.70361,-75.79222,BLMYONAA
102,Cornwall,45.0220181,-74.7308502,CRNWON24
31,Kingston,44.2338406,-76.493944,KGTNON08
31,Kingston,44.2339536,-76.4806981,KGTNONAI
31,Kingston,44.25991,-76.5086,KGTNONFB
31,Kingston,44.2399614,-76.5650545,KGTNONGW
80,Ottawa,45.3256576,-75.893314,KNTAON16
80,Ottawa,45.3407112,-75.8982995,KNTAONEP
80,Ottawa,45.33913,-75.72329,OTWAON11
80,Ottawa,45.364409,-75.735085,NEPNONFL
80,Ottawa,45.34135,-75.7131,NEPNONHI
80,Ottawa,45.43617,-75.6626,OTWAON09
80,Ottawa,45.382,-75.66856,OTWAON10
80,Ottawa,45.43076,-75.682,OTWAON12
80,Ottawa,45.42031,-75.69884,OTWAON23
80,Ottawa,45.403543,-75.738318,OTWAON01
80,Ottawa,45.36539,-75.731033,OTWAONBS
80,Ottawa,45.345212,-75.880417,OTWAONPL
80,Ottawa,45.41957,-75.70051,OTWAONXH
80,Ottawa,45.41523,-75.64887,OTWAONXP
50,Perth,44.902644,-76.276256,PRTHON16
39,Tweed,44.474074,-77.312063,TWEDON40
95,Alma,48.564159,-71.642144,ALMAPQ
9,L'Ancienne-Lorette,46.799059,-71.350923,QUBCPQ
95,L'Anse-Saint-Jean,48.197953,-70.231478,ASTJPQ
9,Québec City,46.880681,-71.196285,QUBCPQ
9,Baie-Saint-Paul,47.3937889,-70.5348,BSTPPQ
95,Saguenay,48.422754,-71.057261,CCTMPQ
95,Dolbeau-Mistassini,48.88243,-72.23138,DLBUPQ
95,Saguenay,48.410056,-71.208358,JNQRPQ
95,Saguenay,48.31472,-70.90764,LABCPQ
14,Levis,46.807517,-71.184387,LEVSPQ
9,La Malbaie,47.655141,-70.151339,LMLBPQ
9,Saint-Ferréol-les-Neiges,47.349706,-71.17497,PCLRPQ
95,Saint-Charles-de-Bourget,48.000723,-71.237795,PCLRPQ
95,Roberval,48.5159,-72.22498,RBVLPQ
95,Saint-Félicien,48.6571111,-72.4494444,SFCNPQ
9,Saint-Joachim,47.06006253,-70.86928541,SANBPQ
12,Chaplin,50.4627769,-106.6566682,CHPLSKAC
35,Tompkins,50.04992,-108.65002,CRMCSKAC
5,Biggar,52.044052,-107.81348,CZLTSKTS
29,Estevan,49.1400238,-102.9937174,ESTVSK01
23,Findlater,50.779027,-105.400527,BTHNSK02
43,Humboldt,52.2006497,-105.1227356,HMBLSK01
126,Lloydminster,53.2816435,-110.0004545,LLYDSK01
126,Melfort,52.860894,-104.608522,MLFTSK03
59,Maple Creek,49.909722,-109.478889,MPCKSKAC
52,Langenburg,50.7932,-101.573332,MRWLSKTS
67,Moose Jaw,50.393345,-105.536197,MSJWSK02
67,Moose Jaw,50.389167,-105.54,MSJWSKAJ
75,North Battleford,52.775659,-108.300293,NBFRSK02
42,Neilburg,52.829637,-109.616705,NLBGSKTS
126,Plunkett,51.90584,-105.44913,PLNKSKTS
87,Prince Albert,53.202015,-105.752791,PRNASK01
87,MUSKODAY,53.215961,-105.676956,PRNASK01
98,Regina,50.44946,-104.61329,REGNSK01
98,Regina,50.41016,-104.61946,REGNSK03
24,Pilot Butte,50.446426,-104.477592,REGNSK03
98,Richardson,50.378467,-104.669267,RCTNSK01
98,Regina,50.450575,-104.614995,REGNSKDB
98,Regina,50.455,-104.596111,REGNSKDP
126,Regina Beach,50.794075,-104.985781,RGBHSK01
19,Saskatoon,52.1298,-106.66461,SKTNSK01
19,Saskatoon,52.12958,-106.67228,SKTNSKBV
19,Saskatoon,52.138426,-106.661714,SKTNSK07
79,Springside,51.352863,-102.738813,SPSDSKTS
104,Swift Current,50.2849544,-107.8025623,SWCRSK02
104,Wymark,50.281939,-107.818061,SWCRSKAE
35,Tompkins,50.07639,-108.73556,TPKNSK01
7,Wilkie,52.415085,-108.73435,WILKSKTS
113,Wolseley,50.422222,-103.2725,WLSLSKAC
126,Wapella,50.262778,-101.973611,WPLLSKAB
112,Weyburn,49.663067,-103.853047,WYBNSK03
79,Yorkton,51.212991,-102.462949,YKTNSK01
4,Saint-Raphaël-d'Albertville,48.324157,-67.360289,CSPLPQ
4,Amqui,48.451676,-67.405928,AMQUPQ
4,Lac-au-Saumon,48.438086,-67.383598,AMQUPQ
4,Baie-des-Sables,48.720089,-67.898448,BADSPQ
4,Rimouski,48.38931,-68.6706,BICCPQ
4,Causapscal,48.357611,-67.22502,CSPLPQ
4,Esprit-Saint,48.078301,-68.546771,EPSTPQ
4,Grosses-Roches,48.938514,-67.171869,SFCTPQ
4,Métis-sur-Mer,48.683626,-67.969569,LBLSPQ
4,Lac-des-Aigles,47.99545,-68.672258,EPSTPQ
4,Lac-au-Saumon,48.421711,-67.345054,LCSMPQ
4,Saint-Ulric,48.730662,-67.744961,STULPQ
4,Les Hauteurs-de-Rimouski,48.377889,-68.112466,SGARPQ
4,Saint-Éloi,48.05591,-69.284549,LISVPQ
4,Les Méchins,49.000084,-66.981357,LMCNPQ
4,La Rédemption,48.446835,-67.882151,STMOPQ
4,Sainte-Luce,48.52732,-68.346494,LUVLPQ
4,Matane,48.836405,-67.565961,MATNPQ
4,Mont-Joli,48.586849,-68.190799,MTJLPQ
4,Padoue,48.576806,-67.991778,MTJLPQ
4,Rimouski,48.499055,-68.479886,RMKIPQ
4,Price,48.634064,-68.115481,MTJLPQ
4,Rivière-Bleue,47.4417,-69.0473,RBLUPQ
4,Rivière-du-Loup,47.831503,-69.531202,RDLPPQ
4,Saint-Antonin,47.815845,-69.518342,RDLPPQ
4,Saint-Adelme,48.825924,-67.323017,SFCTPQ
4,Saint-Anaclet,48.47241445,-68.43155537,RMKIPQ
4,Saint-André-de-Kamouraska,47.630433,-69.687009,SANKPQ
4,Sainte-Angèle-de-Mérici,48.524272,-68.079658,MTJLPQ
4,Rimouski,48.36585944,-68.46392139,SBLNPQ
4,Saint-Charles-Garnier,48.341753,-68.046275,SGARPQ
4,Saint-Cléophas,48.492663,-67.742794,SYBCPQ
4,Saint-Donat,48.495116,-68.244168,LUVLPQ
4,Saint-Damase,48.660905,-67.826174,STMOPQ
4,Saint-Eugène-de-Ladrière,48.254534,-68.794134,SFARPQ
4,Saint-Fabien,48.312912,-68.869824,SFARPQ
4,Sainte-Félicité,48.900055,-67.33337,SFCTPQ
4,Sainte-Flavie,48.609278,-68.231972,MTJLPQ
4,Sainte-Florence,48.266048,-67.234579,CSPLPQ
