,,,,,,,Fiscal year/period,Overall Result,,January 2019,January 2019,February 2019,February 2019,March 2019,March 2019,April 2019,April 2019,May 2019,May 2019,June 2019,June 2019,July 2019,July 2019,August 2019,August 2019,September 2019,September 2019,October 2019,October 2019,November 2019,November 2019,December 2019,December 2019,January 2020,January 2020,February 2020,February 2020,March 2020,March 2020,April 2020,April 2020,May 2020,May 2020,June 2020,June 2020,July 2020,July 2020,August 2020,August 2020,September 2020,September 2020,October 2020,October 2020,November 2020,November 2020,December 2020,December 2020,February 2021,February 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSID-WBS,Project ID,Network,,Network activity,Work Center-ACTY,,Activity Type-ACTY,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,Hours Plan,Hours Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall Result,,,,,,,,"23,878.4 H","18,961.5 H",828.2 H,"1,092.5 H","1,439.7 H","1,189.8 H","1,929.5 H","1,453.5 H","1,529.8 H",966.8 H,"1,379.8 H","1,073.8 H","1,557.9 H","1,299.0 H","1,400.8 H",829.0 H,994.1 H,721.5 H,700.7 H,495.3 H,844.5 H,756.3 H,613.4 H,763.3 H,608.3 H,487.3 H,389.9 H,894.5 H,594.8 H,804.0 H,600.0 H,780.5 H,706.6 H,785.3 H,"1,223.1 H","1,079.0 H",766.6 H,622.0 H,596.6 H,607.3 H,625.8 H,601.5 H,"1,284.3 H",621.0 H,"1,393.4 H",723.8 H,"1,529.6 H",315.0 H,328.9 H,,12.0 H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ04.86.TB510,P-1970097,2739767,RXO:STNMPQXA:IGS:HA:FW4100,DFOT,DSTRENG,Design - Transport Engineering,TECIP,1.0 H,,,,,,,,,,,,,,,,,,,,,,1.0 H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ04.86.TB510,P-1970097,2739768,RXO:RBLUPQAF:IGS:HA:BB/FW4100,DESN,DSTRENG,Design - Transport Engineering,ANLST,8.0 H,,,,,,,,,,,,,,,,,,,,,,,,8.0 H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ04.86.TB510,P-1970097,2739768,RXO:RBLUPQAF:IGS:HA:BB/FW4100,DFOT,DSTRENG,Design - Transport Engineering,TECIP,4.0 H,3.8 H,,,,,,,,,,,,,,,,,,,,,,3.8 H,4.0 H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ04.86.TB510,P-1970097,2740268,RXO:RDLPPQBG:IGS:HA:BB,DESN,DSTRENG,Design - Transport Engineering,ANLST,8.0 H,,,,,,,,,,,,,,,,,,,,,,,,8.0 H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ04.86.TB510,P-1970097,2740268,RXO:RDLPPQBG:IGS:HA:BB,DFOT,DSTRENG,Design - Transport Engineering,TECIP,4.0 H,3.8 H,,,,,,,,,,,,,,,,,,,,,,3.8 H,4.0 H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ04.86.TB510,P-1970097,2741713,RXO:RDLPPQXA:IGS:HA:FW9500,DESN,DSTRENG,Design - Transport Engineering,ANLST,1.0 H,,,,,,,,,,,,,,,,,,,,,,,,1.0 H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ04.86.TB510,P-1970097,2741713,RXO:RDLPPQXA:IGS:HA:FW9500,DFOT,DSTRENG,Design - Transport Engineering,TECIP,1.0 H,1.0 H,,,,,,,,,,,,,,,,,,,,,1.0 H,1.0 H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ04.86.TB510,P-1970097,2741855,RXO:RMKIPQXA:IGS:HR:BB,DESN,DSTRENG,Design - Transport Engineering,ANLST,2.0 H,,,,,,,,,,,,,,,,,,,,,,,,2.0 H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ04.86.TB510,P-1970097,2741855,RXO:RMKIPQXA:IGS:HR:BB,DFOT,DSTRENG,Design - Transport Engineering,TECIP,3.0 H,2.8 H,,,,,,,,,,,,,,,,,,,,,,2.8 H,3.0 H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ04.86.TB510,P-1970097,2742201,RXO:STELPQXA:IGS:DA:FW4100,DESN,DSTRENG,Design - Transport Engineering,ANLST,8.0 H,,,,,,,,,,,,,,,,,,,,,,,,8.0 H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ04.86.TB510,P-1970097,2742201,RXO:STELPQXA:IGS:DA:FW4100,DFOT,DSTRENG,Design - Transport Engineering,TECIP,8.0 H,7.5 H,,,,,,,,,,,,,,,,,,,,7.5 H,,,8.0 H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ04.86.TB510,P-1970097,2742202,RXO:RMKIPQXR:IGS:DA:FW4100,DESN,DSTRENG,Design - Transport Engineering,ANLST,8.0 H,,,,,,,,,,,,,,,,,,,,8.0 H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ04.86.TB510,P-1970097,2742202,RXO:RMKIPQXR:IGS:DA:FW4100,DFOT,DSTRENG,Design - Transport Engineering,TECIP,8.0 H,7.5 H,,,,,,,,,,,,,,,,,,,8.0 H,,,7.5 H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ04.86.TB510,P-1970097,2742273,RXO:STMBPQXQ:IGS:HR:BB,DESN,DSTRENG,Design - Transport Engineering,ANLST,2.0 H,,,,,,,,,,,,,,,,,,,,,,,,2.0 H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ04.86.TB510,P-1970097,2742273,RXO:STMBPQXQ:IGS:HR:BB,DFOT,DSTRENG,Design - Transport Engineering,TECIP,3.0 H,2.0 H,,,,,,,,,,,,,,,,,,,,,,2.0 H,3.0 H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
